Superfamily,Family,Genus,Species,Brain_Size_Species_Mean,Mass_Dimorphism,MeanGroupSize,InterbirthInterval_d,WeaningAge_d,MaxLongevity_m,LitterSz,Precip_Mean_mm,Temp_Mean_degC,HomeRange_km2,DayLength_km,Territoriality,Canine_Dimorphism
Lemuroidea,Cheirogalidae,Mirza,coquereli,5.8,0.997,1,365,136,183.6,1.71,924.8,23.9,0.03,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Nasalis,larvatus,92.3,1.993,12,547.5,211.75,252,1.02,2570.8,25,3.73,0.65,0.2983,2.203
Hominoidea,Hylobatidae,Nomascus,concolor,NA,1.022,NA,821.25,635.13,529.2,1.01,1196.2,17.3,0.87,1.3,1.2352,1.125
Hominoidea,Hylobatidae,Nomascus,gabriellae,119.38,1.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hominoidea,Hylobatidae,Nomascus,leucogenys,NA,NA,NA,NA,NA,NA,NA,1234.1,19.1,NA,1.3,NA,NA
Lorisoidea,Lorisidae,Nycticebus,bengalensis,13.49,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorisoidea,Lorisidae,Nycticebus,coucang,10.13,1.085,1,365,181.21,318,1.12,2372.9,24.9,NA,NA,NA,1.037
Lorisoidea,Lorisidae,Nycticebus,pygmaeus,NA,1.229,1,448,133,205.2,1.75,1499,21.1,NA,NA,NA,1.112
Lorisoidea,Galagidae,Otolemur,crassicaudatus,11.78,1.072,6,365,124.62,225.6,1.14,870.9,22,0.06,NA,NA,1.229
Lorisoidea,Galagidae,Otolemur,garnettii,11.5,1.082,NA,215.95,139.2,204,1.02,679.2,23.6,0.12,NA,NA,1.081
Hominoidea,Hominidae,Pan,paniscus,341.29,1.355,85.1,1715.5,1081.31,576,1.01,1611.2,25,27.93,2.4,0.4025,1.384
Hominoidea,Hominidae,Pan,troglodytes,368.35,1.228,63.1,1825,1260.81,720,1.05,1497.2,24.2,10.85,3.8,1.0224,1.423
Cercopithecoidea,Cercopithecidae,Papio,anubis,167.42,1.729,57.7,752.81,596.6,302.4,1.01,982.4,24.3,4.83,4.6,1.8549,2.221
Cercopithecoidea,Cercopithecidae,Papio,cynocephalus,163.19,1.858,55,669.16,450.42,540,1.01,864.2,23,14.95,5.9,1.3523,3.003
Cercopithecoidea,Cercopithecidae,Papio,hamadryas,146.17,1.748,66.1,608.33,363.96,450,1.01,459.4,21.6,17.37,11,2.339,2.743
Cercopithecoidea,Cercopithecidae,Papio,ursinus,178,2.014,34.7,882.08,877.09,540,1.01,419,18.5,9.12,5.6,1.6434,3.839
Lorisoidea,Lorisidae,Perodicticus,potto,12.42,0.924,2,354.05,149.15,312,1.09,1390,24.4,0.11,NA,NA,1.01
Lemuroidea,Cheirogalidae,Phaner,furcifer,6.68,0.937,2,NA,NA,144,1.01,1763.1,22.3,0.02,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Piliocolobus,badius,63.59,1.018,49.4,660.65,783.93,NA,1,1614.6,26.1,0.42,0.55,0.7521,1.557
Cercopithecoidea,Cercopithecidae,Piliocolobus,kirkii,57.25,1.062,32.4,NA,NA,NA,1.01,NA,NA,0.326,1.044,1.6205,2.526
Cercopithecoidea,Cercopithecidae,Piliocolobus,preussi,NA,NA,NA,NA,NA,NA,1.01,2276.2,24.2,0.39,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Piliocolobus,rufomitratus,NA,NA,14.8,NA,NA,NA,NA,611.1,26.8,0.113,0.532,1.4025,NA
Cercopithecoidea,Cercopithecidae,Piliocolobus,tephrosceles,70.95,1.317,34,NA,NA,NA,NA,NA,NA,0.65,0.649,0.7134,NA
Ceboidea,Pitheciidae,Pithecia,irrorata,NA,1.087,3.5,NA,NA,NA,NA,1766.7,25.1,NA,NA,NA,NA
Ceboidea,Pitheciidae,Pithecia,pithecia,32.26,1.228,5.5,448.03,113.15,248.4,1.01,1569.9,25.4,0.128,1.5,3.7156,1.174
Hominoidea,Hominidae,Pongo,abelii,389.5,2.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71
Hominoidea,Hominidae,Pongo,pygmaeus,377.38,2.169,2,2007.5,1088.8,720,1.07,2587,23.8,3.88,0.5,0.225,1.693
Cercopithecoidea,Cercopithecidae,Presbytis,comata,80.3,0.996,6,NA,NA,NA,1,2178.5,24.4,0.38,0.5,0.7188,1.508
Cercopithecoidea,Cercopithecidae,Presbytis,melalophos,64.85,0.998,14.5,NA,NA,192,1.01,2785,24.7,0.12,0.88,2.2513,1.712
Cercopithecoidea,Cercopithecidae,Procolobus,verus,52.6,1.119,NA,NA,NA,NA,1.02,1868.9,25.3,0.56,1.212,1.4353,2.005
Lemuroidea,Indriidae,Propithecus,coquereli,30.19,0.985,5.5,365,180.96,NA,1,1347.9,25.1,NA,NA,NA,NA
Lemuroidea,Indriidae,Propithecus,deckenii,30.15,0.944,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemuroidea,Indriidae,Propithecus,diadema,39.8,0.974,5.38,745.2,256.27,NA,1.01,1838.3,19.8,0.21,NA,NA,0.88
Lemuroidea,Indriidae,Propithecus,edwardsi,39.49,0.928,4.6,NA,NA,NA,NA,1672.6,18.3,4,NA,NA,NA
Lemuroidea,Indriidae,Propithecus,tattersalli,NA,0.944,4.1,NA,152.13,240,NA,1044.9,25.2,0.06,NA,NA,NA
Lemuroidea,Indriidae,Propithecus,verreauxi,26.21,0.983,5,365,177.83,247.2,1.02,581.3,23.5,0.03,0.85,4.3491,1.061
Cercopithecoidea,Cercopithecidae,Pygathrix,nemaeus,91.41,1.303,9.3,430.7,330,300,1.01,1895.3,22.5,NA,NA,NA,2.108
Cercopithecoidea,Cercopithecidae,Rhinopithecus,avunculus,NA,NA,NA,NA,NA,NA,1,1313.2,19.1,10,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Rhinopithecus,bieti,NA,NA,NA,NA,NA,NA,NA,1820.9,2.6,25,1.31,0.2322,NA
Cercopithecoidea,Cercopithecidae,Rhinopithecus,roxellana,117.76,1.543,NA,NA,NA,354,1,734,9,24.28,NA,NA,2.508
Ceboidea,Cebidae,Saguinus,bicolor,NA,0.995,7.5,NA,NA,228,2,1299.9,26.2,NA,NA,NA,NA
Ceboidea,Cebidae,Saguinus,fuscicollis,7.94,1.02,5.1,293.5,90.1,294,1.83,1968,25.4,0.2,1.6,3.1707,1.014
Ceboidea,Cebidae,Saguinus,geoffroyi,10.14,0.934,6.3,240.9,56,246,1.97,2794.3,25.9,0.16,NA,NA,NA
Ceboidea,Cebidae,Saguinus,imperator,NA,0.998,7,NA,NA,242.4,2,2127.9,24.9,0.22,2.06,3.8922,NA
